pts,elo_i,opp_pts,elo_n
100.00,1521.405,102,1515.0134
102.00,1538.2649,100,1544.6565
74.00,1515.0134,81,1506.8931
81.00,1424.535,74,1432.6554
72.00,1604.8264,59,1612.8441
59.00,1400.6711,72,1392.6534
70.00,1544.6565,68,1551.147
68.00,1532.8411,70,1526.3506
74.00,1585.7998,63,1589.3943
63.00,1439.861,74,1436.2665
85.00,1506.8931,103,1498.6029
103.00,1551.147,85,1559.4371
83.00,1436.2665,66,1445.8745
66.00,1432.6554,83,1423.0474
75.00,1392.6534,73,1399.3124
73.00,1589.3943,75,1582.7354
73.00,1475.4135,82,1472.09
82.00,1612.8441,73,1616.1676
100.00,1577.3672,73,1588.0464
73.00,1526.3506,100,1515.6714
83.00,1498.6029,81,1502.0726
81.00,1515.6714,83,1512.2017
73.00,1399.3124,77,1397.6252
77.00,1582.7354,73,1584.4225
90.00,1616.1676,76,1622.7642
76.00,1559.4371,90,1552.8406
77.00,1423.0474,64,1430.329
64.00,1397.6252,77,1390.3436
74.00,1512.2017,78,1505.2175
78.00,1584.4225,74,1591.4066
78.00,1445.8745,82,1443.7684
82.00,1588.0464,78,1590.1525
87.00,1552.8406,92,1546.2936
92.00,1472.09,87,1478.637
75.00,1590.1525,82,1582.105
82.00,1502.0726,75,1510.1201
84.00,1430.329,82,1434.7239
82.00,1505.2175,84,1500.8226
89.00,1622.7642,69,1627.2406
69.00,1443.7684,89,1439.292
71.00,1591.4066,66,1593.1102
66.00,1390.3436,71,1388.64
82.00,1434.7239,103,1428.1056
103.00,1546.2936,82,1552.9119
63.00,1439.292,61,1445.7778
61.00,1627.2406,63,1620.7548
80.00,1478.637,71,1488.7317
71.00,1388.64,80,1378.5453
72.00,1510.1201,86,1501.1898
86.00,1500.8226,72,1509.7529
81.00,1593.1102,79,1599.6166
79.00,1582.105,81,1575.5986
70.00,1428.1056,77,1421.7632
77.00,1599.6166,70,1605.959
83.00,1488.7317,77,1496.0948
77.00,1575.5986,83,1568.2355
96.00,1501.1898,80,1515.496
80.00,1605.959,96,1591.6528
91.00,1445.7778,88,1456.0593
88.00,1552.9119,91,1542.6304
81.00,1620.7548,83,1612.9796
83.00,1568.2355,81,1576.0106
73.00,1378.5453,70,1386.2664
70.00,1576.0106,73,1568.2896
88.00,1496.0948,80,1500.3696
80.00,1421.7632,88,1417.4884
93.00,1515.496,91,1518.6355
91.00,1509.7529,93,1506.6134
64.00,1417.4884,85,1405.9652
85.00,1612.9796,64,1624.5028
82.00,1386.2664,71,1396.0854
71.00,1456.0593,82,1446.2402
95.00,1568.2896,75,1592.6582
75.00,1591.6528,95,1567.2842
94.00,1506.6134,103,1501.1061
103.00,1542.6304,94,1548.1377
86.00,1446.2402,84,1451.4521
84.00,1567.2842,86,1562.0723
71.00,1396.0854,73,1389.557
73.00,1405.9652,71,1412.4937
85.00,1500.3696,78,1516.4467
78.00,1624.5028,85,1608.4258
74.00,1518.6355,93,1511.1813
93.00,1592.6582,74,1600.1124
80.00,1600.1124,62,1612.7324
62.00,1451.4521,80,1438.8322
85.00,1516.4467,69,1530.0931
69.00,1608.4258,85,1594.7793
88.00,1501.1061,83,1503.8546
83.00,1389.557,88,1386.8085
79.00,1511.1813,78,1514.3385
78.00,1548.1377,79,1544.9805
84.00,1386.8085,89,1384.6563
89.00,1544.9805,84,1547.1327
79.00,1412.4937,99,1408.0968
99.00,1594.7793,79,1599.1761
82.00,1384.6563,89,1382.9049
89.00,1612.7324,82,1614.4838
83.00,1530.0931,79,1533.8375
79.00,1503.8546,83,1500.1102
72.00,1514.3385,62,1519.1964
62.00,1438.8322,72,1433.9742
90.00,1408.0968,80,1415.8345
80.00,1433.9742,90,1426.2366
66.00,1533.8375,75,1528.1274
75.00,1562.0723,66,1567.7823
90.00,1519.1964,92,1516.358
92.00,1547.1327,90,1549.9711
80.00,1500.1102,71,1510.798
71.00,1426.2366,80,1415.5488
52.00,1382.9049,99,1376.1233
99.00,1599.1761,52,1605.9578
95.00,1415.8345,99,1413.8348
99.00,1567.7823,95,1569.782
92.00,1614.4838,96,1603.4076
96.00,1528.1274,92,1539.2036
92.00,1413.8348,80,1427.0593
80.00,1549.9711,92,1536.7466
78.00,1427.0593,82,1420.4839
82.00,1516.358,78,1522.9335
68.00,1376.1233,94,1362.6084
94.00,1569.782,68,1583.2969
67.00,1605.9578,69,1601.2115
69.00,1510.798,67,1515.5442
97.00,1603.4076,103,1596.5963
103.00,1536.7466,97,1543.5579
69.00,1583.2969,54,1593.6089
54.00,1415.5488,69,1405.2368
89.00,1420.4839,106,1407.0557
106.00,1543.5579,89,1556.9861
64.00,1362.6084,69,1360.6599
69.00,1539.2036,64,1541.1521
105.00,1522.9335,103,1527.3862
103.00,1601.2115,105,1596.7588
96.00,1596.7588,90,1602.1512
90.00,1407.0557,96,1401.6632
92.00,1515.5442,73,1530.2677
73.00,1596.5963,92,1581.8728
89.00,1527.3862,105,1520.4993
105.00,1593.6089,89,1600.4958
88.00,1541.1521,91,1537.6809
91.00,1556.9861,88,1560.4573
79.00,1602.1512,81,1595.4889
81.00,1405.2368,79,1411.8992
75.00,1530.2677,72,1539.2424
72.00,1581.8728,75,1572.8981
65.00,1360.6599,70,1356.2188
70.00,1572.8981,65,1577.3392
100.00,1595.4889,93,1600.2708
93.00,1560.4573,100,1555.6754
72.00,1539.2424,65,1542.2706
65.00,1411.8992,72,1408.871
87.00,1600.4958,78,1605.3438
78.00,1537.6809,87,1532.833
103.00,1401.6632,99,1408.4321
99.00,1520.4993,103,1513.7303
94.00,1408.871,86,1419.5665
86.00,1555.6754,94,1544.9799
76.00,1542.2706,78,1535.822
78.00,1356.2188,76,1362.6674
98.00,1605.3438,85,1611.2504
85.00,1535.822,98,1529.9154
69.00,1362.6674,68,1371.9532
68.00,1577.3392,69,1568.0533
65.00,1532.833,75,1521.5067
75.00,1408.4321,65,1419.7584
61.00,1371.9532,68,1364.7867
68.00,1513.7303,61,1520.8969
61.00,1419.5665,75,1416.2875
75.00,1611.2504,61,1614.5294
90.00,1529.9154,100,1523.4496
100.00,1544.9799,90,1551.4457
77.00,1416.2875,60,1423.9905
60.00,1364.7867,77,1357.0837
64.00,1520.8969,93,1511.099
93.00,1600.2708,64,1610.0686
91.00,1419.7584,108,1415.0364
108.00,1568.0533,91,1572.7754
95.00,1423.9905,86,1437.1788
86.00,1415.0364,95,1401.848
73.00,1614.5294,77,1608.3665
77.00,1521.5067,73,1527.6697
87.00,1523.4496,86,1526.4905
86.00,1551.4457,87,1548.4048
74.00,1511.099,89,1498.8988
89.00,1437.1788,74,1449.379
65.00,1357.0837,68,1352.8314
68.00,1526.4905,65,1530.7428
80.00,1572.7754,82,1570.0579
82.00,1610.0686,80,1612.7861
106.00,1608.3665,91,1615.165
91.00,1548.4048,106,1541.6062
89.00,1530.7428,67,1543.5901
67.00,1352.8314,89,1339.9841
107.00,1570.0579,81,1581.6132
81.00,1541.6062,107,1530.0509
79.00,1612.7861,64,1623.2867
64.00,1449.379,79,1438.8784
83.00,1527.6697,73,1535.085
73.00,1543.5901,83,1536.1748
79.00,1401.848,92,1396.6963
92.00,1498.8988,79,1504.0505
94.00,1530.0509,73,1544.9781
73.00,1396.6963,94,1381.769
86.00,1623.2867,65,1640.9766
65.00,1535.085,86,1517.3951
94.00,1504.0505,103,1500.2405
103.00,1615.165,94,1618.9751
91.00,1544.9781,80,1554.9594
80.00,1618.9751,91,1608.9939
79.00,1438.8784,75,1444.7119
75.00,1517.3951,79,1511.5616
92.00,1536.1748,107,1530.7322
107.00,1640.9766,92,1646.4192
98.00,1581.6132,93,1584.8134
93.00,1500.2405,98,1497.0403
82.00,1511.5616,75,1521.0811
75.00,1646.4192,82,1636.8998
83.00,1554.9594,76,1560.2031
76.00,1339.9841,83,1334.7404
107.00,1530.7322,74,1552.333
74.00,1608.9939,107,1587.3931
91.00,1636.8998,74,1642.4963
74.00,1521.0811,91,1515.4845
94.00,1560.2031,85,1569.3894
85.00,1444.7119,94,1435.5256
110.00,1584.8134,96,1592.2113
96.00,1552.333,110,1544.9351
79.00,1569.3894,100,1555.2004
100.00,1515.4845,79,1529.6735
63.00,1334.7404,75,1330.1067
75.00,1642.4963,63,1647.13
83.00,1587.3931,85,1582.7313
85.00,1497.0403,83,1501.702
88.00,1381.769,92,1377.7455
92.00,1592.2113,88,1596.2349
84.00,1330.1067,96,1325.6882
96.00,1647.13,84,1651.5485
77.00,1529.6735,86,1523.6141
86.00,1544.9351,77,1550.9944
76.00,1582.7313,88,1559.3551
88.00,1435.5256,76,1458.9019
81.00,1458.9019,71,1463.6261
71.00,1377.7455,81,1373.0212
81.00,1651.5485,88,1634.5535
88.00,1501.702,81,1518.697
70.00,1550.9944,97,1537.984
97.00,1559.3551,70,1572.3655
103.00,1596.2349,85,1603.4663
85.00,1523.6141,103,1516.3827
68.00,1518.697,101,1502.9117
101.00,1516.3827,68,1532.168
76.00,1325.6882,63,1339.6989
63.00,1463.6261,76,1449.6155
71.00,1373.0212,77,1361.1976
77.00,1339.6989,71,1351.5225
108.00,1634.5535,94,1648.4075
94.00,1555.2004,108,1541.3464
87.00,1351.5225,76,1367.2815
76.00,1361.1976,87,1345.4386
78.00,1502.9117,82,1497.6298
82.00,1449.6155,78,1454.8975
105.00,1648.4075,110,1642.7263
110.00,1603.4663,105,1609.1475
98.00,1497.6298,83,1508.0409
83.00,1532.168,98,1521.7568
78.00,1521.7568,81,1514.5154
81.00,1345.4386,78,1352.6801
94.00,1537.984,88,1542.4845
88.00,1508.0409,94,1503.5404
85.00,1642.7263,96,1632.8854
96.00,1572.3655,85,1582.2064
98.00,1514.5154,117,1505.1818
117.00,1541.3464,98,1550.6801
83.00,1454.8975,76,1458.6062
76.00,1367.2815,83,1363.5728
91.00,1632.8854,81,1638.3643
81.00,1582.2064,91,1576.7275
80.00,1352.6801,99,1349.8793
99.00,1609.1475,80,1611.9482
83.00,1349.8793,99,1340.1987
99.00,1542.4845,83,1552.165
78.00,1576.7275,76,1579.7642
76.00,1363.5728,78,1360.5361
68.00,1505.1818,65,1510.2609
65.00,1579.7642,68,1574.6851
82.00,1360.5361,93,1354.7429
93.00,1611.9482,82,1617.7415
78.00,1503.5404,82,1495.9767
82.00,1552.165,78,1559.7288
75.00,1340.1987,117,1333.7606
117.00,1550.6801,75,1557.1182
99.00,1617.7415,97,1624.8749
97.00,1638.3643,99,1631.2308
94.00,1458.6062,90,1465.3093
90.00,1574.6851,94,1567.9819
79.00,1465.3093,83,1461.8783
83.00,1510.2609,79,1513.6919
94.00,1624.8749,95,1620.3939
95.00,1495.9767,94,1500.4576
73.00,1333.7606,78,1330.6429
78.00,1620.3939,73,1623.5116
89.00,1500.4576,85,1510.7441
85.00,1557.1182,89,1546.8317
57.00,1631.2308,56,1633.1138
56.00,1354.7429,57,1352.86
99.00,1559.7288,93,1563.9023
93.00,1513.6919,99,1509.5183
104.00,1567.9819,71,1577.3955
71.00,1461.8783,104,1452.4647
92.00,1563.9023,100,1554.4376
100.00,1452.4647,92,1461.9294
62.00,1352.86,91,1349.564
91.00,1633.1138,62,1636.4098
102.00,1577.3955,95,1581.4836
95.00,1509.5183,102,1505.4302
91.00,1623.5116,86,1626.787
86.00,1546.8317,91,1543.5563
72.00,1554.4376,100,1537.3665
100.00,1505.4302,72,1522.5013
97.00,1510.7441,96,1513.8472
96.00,1543.5563,97,1540.4532
81.00,1461.9294,77,1472.3197
77.00,1522.5013,81,1512.1111
65.00,1537.3665,77,1532.5229
77.00,1636.4098,65,1641.2533
85.00,1641.2533,78,1647.6649
78.00,1472.3197,85,1465.9081
88.00,1626.787,79,1628.3175
79.00,1349.564,88,1348.0334
100.00,1540.4532,77,1545.0411
77.00,1348.0334,100,1343.4456
77.00,1647.6649,85,1637.3668
85.00,1512.1111,77,1522.4092
81.00,1513.8472,79,1515.1377
79.00,1330.6429,81,1329.3524
63.00,1329.3524,76,1318.6957
76.00,1465.9081,63,1476.5648
83.00,1545.0411,91,1538.6482
91.00,1532.5229,83,1538.9159
79.00,1343.4456,100,1340.1105
100.00,1581.4836,79,1584.8187
100.00,1538.6482,95,1543.3445
95.00,1538.9159,100,1534.2196
85.00,1476.5648,70,1487.4739
70.00,1522.4092,85,1511.5001
73.00,1515.1377,83,1501.7499
83.00,1340.1105,73,1353.4983
75.00,1584.8187,77,1582.2904
77.00,1637.3668,75,1639.8951
95.00,1628.3175,73,1630.5974
73.00,1318.6957,95,1316.4158
81.00,1534.2196,82,1528.2994
82.00,1316.4158,81,1322.3359
64.00,1487.4739,75,1465.9714
75.00,1353.4983,64,1375.0007
94.00,1511.5001,85,1517.7122
85.00,1501.7499,94,1495.5378
88.00,1630.5974,99,1620.0969
99.00,1543.3445,88,1553.845
70.00,1322.3359,73,1321.0188
73.00,1528.2994,70,1529.6166
105.00,1495.5378,91,1511.8933
91.00,1465.9714,105,1449.616
86.00,1639.8951,75,1645.519
75.00,1582.2904,86,1576.6665
83.00,1321.0188,103,1310.511
103.00,1529.6166,83,1540.1244
80.00,1517.7122,76,1519.8123
76.00,1375.0007,80,1372.9006
87.00,1511.8933,96,1502.4513
96.00,1620.0969,87,1629.5389
76.00,1629.5389,84,1612.3845
84.00,1310.511,76,1327.6654
90.00,1372.9006,83,1382.8146
83.00,1519.8123,90,1509.8983
67.00,1645.519,70,1633.1265
70.00,1449.616,67,1462.0085
86.00,1502.4513,96,1496.6251
96.00,1540.1244,86,1545.9506
104.00,1576.6665,100,1580.4701
100.00,1553.845,104,1550.0414
97.00,1550.0414,111,1533.7303
111.00,1580.4701,97,1596.7811
77.00,1462.0085,82,1448.2554
82.00,1327.6654,77,1341.4186
69.00,1633.1265,70,1626.6598
70.00,1382.8146,69,1389.2813
84.00,1496.6251,91,1493.4098
91.00,1612.3845,84,1615.5999
78.00,1448.2554,80,1445.8352
80.00,1509.8983,78,1512.3185
69.00,1615.5999,78,1606.9248
78.00,1545.9506,69,1554.6256
86.00,1596.7811,75,1607.6564
75.00,1493.4098,86,1482.5345
96.00,1341.4186,91,1353.1476
91.00,1607.6564,96,1595.9274
94.00,1445.8352,90,1451.8807
90.00,1533.7303,94,1527.6848
89.00,1512.3185,66,1517.8148
66.00,1353.1476,89,1347.6512
109.00,1626.6598,74,1640.421
74.00,1389.2813,109,1375.52
76.00,1606.9248,78,1599.9834
78.00,1595.9274,76,1602.8688
91.00,1517.8148,112,1504.6688
112.00,1482.5345,91,1495.6805
75.00,1640.421,77,1635.3606
77.00,1527.6848,75,1532.7452
82.00,1347.6512,102,1343.8137
102.00,1554.6256,82,1558.4631
92.00,1602.8688,84,1608.8436
84.00,1599.9834,92,1594.0085
83.00,1343.8137,90,1336.9331
90.00,1495.6805,83,1502.5612
97.00,1375.52,95,1385.4327
95.00,1532.7452,97,1522.8325
99.00,1451.8807,87,1467.2893
87.00,1635.3606,99,1619.952
92.00,1504.6688,100,1500.9867
100.00,1608.8436,92,1612.5258
61.00,1558.4631,66,1554.4727
66.00,1594.0085,61,1597.999
106.00,1522.8325,84,1528.812
84.00,1385.4327,106,1379.4532
82.00,1500.9867,81,1504.0254
81.00,1528.812,82,1525.7733
96.00,1619.952,98,1615.7157
98.00,1554.4727,96,1558.709
80.00,1467.2893,98,1458.642
98.00,1502.5612,80,1511.2085
78.00,1336.9331,93,1330.7316
93.00,1615.7157,78,1621.9172
95.00,1504.0254,80,1508.9419
80.00,1379.4532,95,1374.5367
67.00,1458.642,88,1450.3765
88.00,1525.7733,67,1534.0388
80.00,1621.9172,88,1615.2036
88.00,1597.999,80,1604.7126
73.00,1374.5367,82,1371.16
82.00,1508.9419,73,1512.3186
118.00,1511.2085,95,1525.9481
95.00,1558.709,118,1543.9694
80.00,1604.7126,81,1597.8446
81.00,1330.7316,80,1337.5996
59.00,1371.16,86,1364.3772
86.00,1512.3186,59,1519.1014
82.00,1543.9694,77,1546.9802
77.00,1450.3765,82,1447.3656
73.00,1612.5258,83,1598.1997
83.00,1615.2036,73,1629.5297
83.00,1447.3656,70,1463.5254
70.00,1629.5297,83,1613.3699
76.00,1525.9481,71,1531.4789
71.00,1364.3772,76,1358.8464
124.00,1598.1997,100,1601.4219
100.00,1337.5996,124,1334.3774
77.00,1534.0388,75,1542.0426
75.00,1597.8446,77,1589.8408
89.00,1546.9802,84,1551.4141
84.00,1334.3774,89,1329.9436
108.00,1613.3699,95,1618.9275
95.00,1531.4789,108,1525.9213
86.00,1519.1014,88,1512.5127
88.00,1525.9213,86,1532.51
99.00,1601.4219,67,1605.8174
67.00,1358.8464,99,1354.4509
81.00,1589.8408,88,1582.9696
88.00,1542.0426,81,1548.9138
89.00,1512.5127,97,1506.9812
97.00,1532.51,89,1538.0415
91.00,1548.9138,72,1562.3091
72.00,1605.8174,91,1592.4221
88.00,1582.9696,83,1585.6086
83.00,1463.5254,88,1460.8864
86.00,1329.9436,103,1326.5334
103.00,1538.0415,86,1541.4517
77.00,1541.4517,90,1523.6512
90.00,1326.5334,77,1344.3339
58.00,1354.4509,66,1350.811
66.00,1460.8864,58,1464.5262
98.00,1618.9275,88,1628.8535
88.00,1506.9812,98,1497.0552
105.00,1551.4141,86,1562.4666
86.00,1562.3091,105,1551.2566
83.00,1585.6086,98,1576.9026
98.00,1592.4221,83,1601.1282
89.00,1562.4666,87,1568.9689
87.00,1551.2566,89,1544.7543
88.00,1497.0552,101,1487.6595
101.00,1464.5262,88,1473.9219
96.00,1628.8535,85,1633.9441
85.00,1350.811,96,1345.7205
76.00,1576.9026,72,1581.5852
72.00,1601.1282,76,1596.4456
96.00,1596.4456,99,1587.459
99.00,1344.3339,96,1353.3204
80.00,1353.3204,91,1345.6992
91.00,1544.7543,80,1552.3755
86.00,1487.6595,68,1497.2063
68.00,1473.9219,86,1464.3751
92.00,1568.9689,90,1572.4598
90.00,1587.459,92,1583.968
81.00,1633.9441,83,1628.9279
83.00,1523.6512,81,1528.6675
82.00,1345.6992,88,1341.1321
88.00,1572.4598,82,1577.027
82.00,1552.3755,74,1560.6871
74.00,1628.9279,82,1620.6162
83.00,1581.5852,81,1586.1156
81.00,1464.3751,83,1459.8447
77.00,1583.968,74,1585.0669
74.00,1345.7205,77,1344.6216
76.00,1586.1156,81,1579.3627
81.00,1497.2063,76,1503.9592
75.00,1344.6216,74,1348.8925
74.00,1459.8447,75,1455.5739
100.00,1560.6871,77,1571.7173
77.00,1341.1321,100,1330.1019
99.00,1577.027,103,1567.4932
103.00,1348.8925,99,1358.4263
92.00,1528.6675,83,1536.7119
83.00,1579.3627,92,1571.3182
94.00,1585.0669,92,1588.8191
92.00,1620.6162,94,1616.864
89.00,1571.7173,72,1574.5417
72.00,1330.1019,89,1327.2775
80.00,1455.5739,79,1459.7947
79.00,1567.4932,80,1563.2723
96.00,1616.864,90,1621.4042
90.00,1588.8191,96,1584.2789
82.00,1536.7119,99,1528.3698
99.00,1571.3182,82,1579.6604
91.00,1327.2775,80,1335.6725
80.00,1358.4263,91,1350.0313
81.00,1503.9592,82,1499.6202
82.00,1584.2789,81,1588.6179
84.00,1528.3698,88,1520.745
88.00,1574.5417,84,1582.1665
71.00,1582.1665,89,1560.8177
89.00,1579.6604,71,1601.0092
85.00,1621.4042,83,1623.8657
83.00,1563.2723,85,1560.8108
86.00,1588.6179,84,1592.95
84.00,1459.7947,86,1455.4626
70.00,1560.8177,89,1552.047
89.00,1601.0092,70,1609.7799
103.00,1499.6202,87,1503.7885
87.00,1335.6725,103,1331.5043
85.00,1520.745,82,1522.3431
82.00,1350.0313,85,1348.4331
86.00,1348.4331,105,1336.6356
105.00,1522.3431,86,1534.1406
90.00,1609.7799,97,1602.8759
97.00,1560.8108,90,1567.7148
118.00,1552.047,106,1570.2065
106.00,1592.95,118,1574.7904
96.00,1570.2065,89,1574.9653
89.00,1534.1406,96,1529.3818
92.00,1503.7885,111,1490.8492
111.00,1455.4626,92,1468.4019
126.00,1623.8657,82,1628.0442
82.00,1331.5043,126,1327.3258
84.00,1602.8759,90,1590.9932
90.00,1567.7148,84,1579.5975
95.00,1574.7904,78,1580.6641
78.00,1468.4019,95,1462.5282
105.00,1574.9653,94,1582.4563
94.00,1579.5975,105,1572.1066
86.00,1462.5282,92,1455.3036
92.00,1580.6641,86,1587.8887
83.00,1529.3818,102,1521.4628
102.00,1590.9932,83,1598.9122
100.00,1521.4628,95,1527.9274
95.00,1598.9122,100,1592.4476
78.00,1628.0442,70,1631.1481
70.00,1490.8492,78,1487.7454
97.00,1582.4563,101,1578.0449
101.00,1572.1066,97,1576.5179
84.00,1592.4476,73,1597.8866
73.00,1527.9274,84,1522.4884
94.00,1631.1481,87,1638.2681
87.00,1487.7454,94,1480.6254
87.00,1578.0449,88,1572.3955
88.00,1576.5179,87,1582.1674
88.00,1587.8887,78,1596.4541
78.00,1638.2681,88,1629.7026
83.00,1629.7026,78,1638.5481
78.00,1596.4541,83,1587.6086
85.00,1597.8866,87,1590.8511
87.00,1582.1674,85,1589.2029
92.00,1589.2029,102,1582.3361
102.00,1590.8511,92,1597.7179
77.00,1638.5481,67,1644.0201
67.00,1587.6086,77,1582.1366
92.00,1597.7179,99,1591.7205
99.00,1582.3361,92,1588.3335
82.00,1644.0201,80,1646.4375
80.00,1582.1366,82,1579.7192
100.00,1588.3335,93,1594.0254
93.00,1591.7205,100,1586.0286
79.00,1594.0254,83,1590.7139
83.00,1646.4375,79,1649.749
72.00,1649.749,80,1634.8912
80.00,1590.7139,72,1605.5717
82.00,1634.8912,77,1643.8473
77.00,1605.5717,82,1596.6156
90.00,1596.6156,89,1599.9093
89.00,1643.8473,90,1640.5536
102.00,1640.5536,89,1647.3374
89.00,1599.9093,102,1593.1255
76.00,1593.1255,68,1600.7363
68.00,1647.3374,76,1639.7266
65.00,1600.7363,82,1592.5635
82.00,1639.7266,65,1647.8994
83.00,1555.5466,68,1570.59
68.00,1486.719,83,1471.6757
73.00,1378.7267,71,1383.434
71.00,1471.6757,73,1466.9684
91.00,1570.59,94,1567.5084
94.00,1612.1746,91,1615.2561
69.00,1570.6726,53,1574.1165
53.00,1371.7444,69,1368.3005
86.00,1518.1163,84,1522.0605
84.00,1565.7715,86,1561.8273
94.00,1561.0394,82,1566.0249
82.00,1467.7277,94,1462.7422
69.00,1462.7422,81,1453.2502
81.00,1615.2561,69,1624.748
91.00,1522.0605,117,1511.0986
117.00,1561.8273,91,1572.7892
75.00,1368.3005,97,1359.3076
97.00,1624.748,75,1633.741
64.00,1453.2502,84,1437.6316
84.00,1566.0249,64,1581.6436
63.00,1466.9684,65,1462.3942
65.00,1581.6436,63,1586.2178
92.00,1574.1165,62,1587.7555
62.00,1359.3076,92,1345.6686
106.00,1567.5084,83,1579.8353
83.00,1572.7892,106,1560.4623
71.00,1511.0986,93,1495.0193
93.00,1633.741,71,1649.8203
96.00,1462.3942,99,1460.3447
99.00,1586.2178,96,1588.2672
74.00,1437.6316,71,1441.7444
71.00,1460.3447,74,1456.2319
78.00,1383.434,75,1391.3237
75.00,1588.2672,78,1580.3774
89.00,1649.8203,96,1641.734
96.00,1560.4623,89,1568.5486
101.00,1641.734,92,1652.8705
92.00,1579.8353,101,1568.6989
78.00,1456.2319,63,1464.6425
63.00,1441.7444,78,1433.3339
94.00,1587.7555,104,1580.6102
104.00,1580.3774,94,1587.5227
90.00,1391.3237,107,1379.4645
107.00,1345.6686,90,1357.5278
79.00,1379.4645,97,1369.6705
97.00,1587.5227,79,1597.3167
91.00,1652.8705,100,1644.1067
100.00,1580.6102,91,1589.374
81.00,1568.6989,96,1559.7189
96.00,1568.5486,81,1577.5286
71.00,1495.0193,77,1483.2904
77.00,1464.6425,71,1476.3713
97.00,1357.5278,91,1368.9241
91.00,1577.5286,97,1566.1323
79.00,1476.3713,76,1480.2129
76.00,1483.2904,79,1479.4489
71.00,1369.6705,68,1374.5371
68.00,1433.3339,71,1428.4673
79.00,1589.374,68,1595.7913
68.00,1559.7189,79,1553.3016
89.00,1644.1067,97,1636.7214
97.00,1597.3167,89,1604.7019
81.00,1479.4489,79,1484.0952
79.00,1368.9241,81,1364.2777
96.00,1553.3016,87,1561.369
87.00,1604.7019,96,1596.6345
112.00,1428.4673,83,1455.3303
83.00,1595.7913,112,1568.9282
51.00,1374.5371,87,1370.252
87.00,1636.7214,51,1641.0066
84.00,1566.1323,78,1569.5702
78.00,1480.2129,84,1476.775
90.00,1568.9282,100,1558.8483
100.00,1476.775,90,1486.855
82.00,1370.252,83,1366.4135
83.00,1484.0952,82,1487.9337
106.00,1364.2777,89,1380.2227
89.00,1487.9337,106,1471.9888
91.00,1561.369,77,1564.5895
77.00,1366.4135,91,1363.193
81.00,1455.3303,89,1448.8872
89.00,1641.0066,81,1647.4497
67.00,1486.855,72,1479.0773
72.00,1558.8483,67,1566.626
99.00,1380.2227,106,1376.5902
106.00,1471.9888,99,1475.6212
73.00,1363.193,92,1359.4773
92.00,1569.5702,73,1573.2859
96.00,1376.5902,95,1380.6177
95.00,1475.6212,96,1471.5938
91.00,1479.0773,96,1475.9421
96.00,1564.5895,91,1567.7246
96.00,1647.4497,89,1649.5146
89.00,1448.8872,96,1446.8223
98.00,1566.626,68,1581.6335
68.00,1573.2859,98,1558.2783
69.00,1596.6345,65,1597.8853
65.00,1359.4773,69,1358.2266
100.00,1475.9421,90,1486.4988
90.00,1380.6177,100,1370.061
92.00,1446.8223,80,1455.4579
80.00,1471.5938,92,1462.9581
62.00,1649.5146,46,1655.5995
46.00,1358.2266,62,1352.1417
100.00,1597.8853,102,1590.5607
102.00,1567.7246,100,1575.0492
76.00,1558.2783,73,1562.4023
73.00,1581.6335,76,1577.5095
78.00,1352.1417,66,1374.8832
66.00,1486.4988,78,1463.7573
106.00,1590.5607,89,1593.7427
89.00,1370.061,106,1366.879
92.00,1366.879,94,1363.8076
94.00,1577.5095,92,1580.5809
93.00,1575.0492,92,1576.6234
92.00,1462.9581,93,1461.3839
72.00,1374.8832,80,1365.1454
80.00,1455.4579,72,1465.1957
104.00,1580.5809,92,1587.775
92.00,1363.8076,104,1356.6135
87.00,1365.1454,95,1361.3854
95.00,1465.1957,87,1468.9557
69.00,1463.7573,90,1459.4403
90.00,1655.5995,69,1659.9165
70.00,1461.3839,83,1449.8093
83.00,1576.6234,70,1588.198
79.00,1593.7427,86,1587.3237
86.00,1562.4023,79,1568.8213
82.00,1459.4403,97,1450.4852
97.00,1659.9165,82,1668.8716
77.00,1449.8093,78,1445.9379
78.00,1361.3854,77,1365.2568
74.00,1356.6135,87,1348.88
87.00,1568.8213,74,1576.5548
71.00,1468.9557,78,1465.7976
78.00,1588.198,71,1591.3561
94.00,1587.775,72,1593.7581
72.00,1450.4852,94,1444.5022
71.00,1668.8716,83,1658.0131
83.00,1587.3237,71,1598.1823
95.00,1348.88,100,1346.2063
100.00,1465.7976,95,1468.4713
88.00,1365.2568,91,1362.0479
91.00,1598.1823,88,1601.3912
66.00,1445.9379,91,1441.5721
91.00,1658.0131,66,1662.3788
78.00,1576.5548,66,1584.8295
66.00,1591.3561,78,1583.0814
67.00,1346.2063,89,1339.5281
89.00,1662.3788,67,1669.057
85.00,1444.5022,76,1456.3552
76.00,1601.3912,85,1589.5382
89.00,1593.7581,82,1600.6298
82.00,1441.5721,89,1434.7004
98.00,1339.5281,87,1347.6221
87.00,1362.0479,98,1353.9539
102.00,1583.0814,106,1576.4272
106.00,1669.057,102,1675.7112
75.00,1434.7004,100,1429.0765
100.00,1600.6298,75,1606.2537
73.00,1576.4272,90,1542.2823
90.00,1353.9539,73,1388.0988
70.00,1468.4713,78,1459.9309
78.00,1584.8295,70,1593.3699
81.00,1675.7112,71,1687.2814
71.00,1606.2537,81,1594.6835
84.00,1456.3552,74,1463.3823
74.00,1459.9309,84,1452.9038
